feature1,feature2,redundant_feature_1,redundant_feature_2,label
0.0565513677268086,0.0848719951589216,0.38198363400684576,0.284085117198032,0
0.3081364575891442,0.6059441656784624,0.0374463683100649,0.11569810023387878,1
0.4306696402912686,0.3935318202053713,0.5331059597297495,0.22889983539165326,0
0.5441770474293208,0.4448541887258536,0.5002008889736005,0.6855458339741265,0
0.4648938620973121,0.3184651278536774,0.5543404709867921,0.5117581820355215,0
0.5605103610264989,0.236123407115062,0.6416781451391677,0.4520485704270317,0
0.5102238458372012,0.998683568192552,0.5622927566167897,0.5037565672680129,1
0.7967599214216395,0.7344016918939777,0.6339128236126861,0.1827696309751795,0
0.3537869778416035,0.9809765730721266,0.4856101652882669,0.907582652417741,1
0.7151508982374535,0.4614066977419776,0.4534145827498454,0.8129740657306603,0
0.5008410626306549,0.8315244897918123,0.5478046549203611,0.3632844443542913,1
0.4610121648816376,0.5677050704202443,0.21768271282083762,0.3624429043020558,1
0.2218110109910108,0.324667243768898,0.645436779398951,0.7479080267479896,1
0.2681375128998163,0.9113778358680468,0.29602047801952697,0.36654802651505686,1
0.5042488169833176,0.5177477561485521,0.4432427891934991,1.0,0
0.2078184745379272,0.5118916583552825,0.48134661944010165,0.5842416477859164,1
0.8203999947120169,0.7259492874772981,0.18974594915607723,0.31905335444371974,0
0.0587588963986557,0.6529099274345497,0.18136280532378765,0.45606053972803373,1
0.1062659826455248,0.52236266535893,0.17092093152012808,0.3015284708840274,1
0.8805817593662799,0.422917648389696,0.4761388027357863,0.5988416568430933,0
0.1718809921257323,0.6727654414135418,0.8008532002711091,0.39990308431722654,1
0.7294235074418041,0.0211448697231506,0.3093463877306159,0.6625405887703815,0
0.1837388092509762,0.6914954260135907,0.577003374570314,0.6019877276326849,1
0.1514201087565515,0.036268994243414,0.27019548412487565,0.0,0
0.1131149030180769,0.3372137731966452,0.1066269389111221,0.44623150940690004,1
0.7399466637207005,0.9020201583500368,0.5881426347289737,0.9731799026936876,1
0.4727795120983127,0.2255275703478876,0.6164030409640605,0.6959587865221162,0
0.4478218614191511,0.8747630413479673,0.4221331389722479,0.6775614961527798,1
0.5148026967641771,0.1438294639769439,0.21256422299586297,0.43300642625911756,0
0.4197555456557469,0.0180332191249266,0.038593261961986786,0.5525292325895519,0
0.0335562462486469,0.1611650151812341,0.31385702739836147,0.4886595051857219,1
0.9834660940475276,0.9341303186968068,0.5115318113391645,0.490050298345563,0
0.2507807618411571,0.591237345547998,0.35063299452303026,0.7681886075185066,1
0.256609288488035,0.4230169227625215,0.4809798066684078,0.6394767485532904,1
0.4087264177220743,0.111174967229976,0.34258796842360106,0.5026362811090794,0
0.1817600783004253,0.2315254293771408,0.582184295766304,0.33943685684538816,1
0.309726070877413,0.6417587576806747,0.27157826817953173,0.40408925308056715,1
0.7289310455775243,0.433733868789665,0.3910327223989264,0.6779904093713931,0
0.4180163884824563,0.5250645323197618,0.29349014982394617,0.39242316765247176,1
0.3661839665433979,0.5192096900989855,0.5148196503690539,0.20117980290179932,1
0.9835210735533187,0.3722267099341341,0.0695242571750047,0.9367096661369031,0
0.3059223607062649,0.8406116871188408,0.3408588702049139,0.47960287600866147,1
0.4106743755735069,0.4858629440020011,0.5223882860356827,0.5593004725023301,1
0.2843593509803859,0.3729021050469679,0.632413230202009,0.36511793493891964,1
0.1923591279668238,0.5715527413293309,0.7395501836171697,0.5928775348930426,1
0.3950425601578629,0.1217294801336695,0.28967921472731845,0.45224895299007706,0
0.6409915938310651,0.9596685633958122,0.20857954841073878,0.6658472355667782,1
0.7772119346497987,0.7235182799831297,0.5528892042520248,0.39215880314787743,0
0.7987220836796798,0.2689424938276525,0.7830162880522107,0.6855898369232699,0
0.8043499769193377,0.9320538602182384,0.4952033399489575,0.7871357901931539,1
0.4887894734483634,0.2594053413611732,0.3306379545729955,0.43095019159130016,0
0.5859005803451007,0.81785325389915,0.0,0.6767056388109256,1
0.1465010479562314,0.4167680434748887,0.05727821621049235,0.6520032069034847,1
0.9886370287076424,0.6480820777831361,0.3938447821377098,0.40971949903130445,0
0.6707323259499417,0.681099007497837,0.30421577384193144,0.6591419295182598,0
0.5408932491145007,0.9499387217228024,0.5181068112692717,0.5060759850398698,1
0.7153648176354613,0.2572605175492607,0.3676494263227009,0.4423910800670105,0
